,Variable Name,Variable Label,Variable Order in File,Variable Type,Length
815,ZTELLDAYS,Imputation flag for TELLDAYS,816,Numeric,8
816,ZOTHWORK,Imputation flag for OTHWORK,817,Numeric,8
817,ZWORKPAY,Imputation flag for WORKPAY,818,Numeric,8
818,ZRETIREPY,Imputation flag for RETIREPY,819,Numeric,8
819,ZSSINCOME,Imputation flag for SSINCOME,820,Numeric,8
820,ZCASHBEN,Imputation flag for CASHBEN,821,Numeric,8
821,ZINVESTMT,Imputation flag for INVESTMT,822,Numeric,8
822,ZRGLRPAY,Imputation flag for RGLRPAY,823,Numeric,8
823,ZMONEYPY,Imputation flag for MONEYPY,824,Numeric,8
824,ZHUPROJ,Imputation flag for HUPROJ,825,Numeric,8
825,ZRENTHELP,Imputation flag for RENTHELP,826,Numeric,8
826,ZFOODASST,Imputation flag for FOODASST,827,Numeric,8
827,TOTSQFT,"Total square footage (includes all attached garages, all basements, and finished/heated/cooled attics)",828,Numeric,8
828,TOTSQFT_EN,"Total square footage (includes heated/cooled garages, all basements, and finished/heated/cooled attics). Used for EIA data tables.",829,Numeric,8
829,TOTHSQFT,Total heated square footage,830,Numeric,8
830,TOTUSQFT,Total unheated square footage,831,Numeric,8
831,TOTCSQFT,Total cooled square footage,832,Numeric,8
832,TOTUCSQFT,Total uncooled square footage,833,Numeric,8
833,ZTOTSQFT,Imputation flag for TOTSQFT,834,Character,1
834,ZTOTSQFT_EN,Imputation flag for TOTSQFT_EN,835,Character,1
835,ZTOTHSQFT,Imputation flag for TOTHSQFT,836,Character,1
836,ZTOTUSQFT,Imputation flag for TOTUSQFT,837,Character,1
837,ZTOTCSQFT,Imputation flag for TOTCSQFT,838,Character,1
838,ZTOTUCSQFT,Imputation flag for TOTUCSQFT,839,Character,1
839,KWH,"Total Site Electricity usage, in kilowatt-hours, 2009",840,Numeric,8
840,KWHSPH,"Electricity usage for space heating, in kilowatt-hours, 2009",841,Numeric,8
841,KWHCOL,"Electricity usage for air-conditioning, central and window/wall (room), in kilowatt-hours, 2009",842,Numeric,8
842,KWHWTH,"Electricity usage for water heating, in kilowatt-hours, 2009",843,Numeric,8
843,KWHRFG,"Electricity usage for refrigerators, in kilowatt-hours, 2009",844,Numeric,8
844,KWHOTH,"Electricity usage for other purposes (all end-uses except SPH, COL, WTH, and RFG), in kilowatt-hours, 2009",845,Numeric,8
845,BTUEL,"Total Site Electricity usage, in thousand BTU, 2009",846,Numeric,8
846,BTUELSPH,"Electricity usage for space heating, in thousand BTU, 2009",847,Numeric,8
847,BTUELCOL,"Electricity usage for air-conditioning, central and window/wall (room), in thousand BTU, 2009",848,Numeric,8
848,BTUELWTH,"Electricity usage for water heating, in thousand BTU, 2009",849,Numeric,8
849,BTUELRFG,"Electricity usage for refrigerators, in thousand BTU, 2009",850,Numeric,8
850,BTUELOTH,"Electricity usage for other purposes (all end-uses except SPH, COL, WTH, and RFG), in thousand BTU, 2009",851,Numeric,8
851,DOLLAREL,"Total Electricity cost, in whole dollars, 2009",852,Numeric,8
852,DOLELSPH,"Electricity cost for space heating, in whole dollars, 2009",853,Numeric,8
853,DOLELCOL,"Electricity cost for air-conditioning, central and window/wall (room), in whole dollars, 2009",854,Numeric,8
854,DOLELWTH,"Electricity cost for water heating, in whole dollars, 2009",855,Numeric,8
855,DOLELRFG,"Electricity cost for refrigerators, in whole dollars, 2009",856,Numeric,8
856,DOLELOTH,"Electricity cost for other purposes (all end-uses except SPH, COL, WTH, and RFG), in wholedollars, 2009",857,Numeric,8
857,CUFEETNG,"Total Natural Gas usage, in hundred cubic feet, 2009",858,Numeric,8
858,CUFEETNGSPH,"Natural Gas usage for space heating, in hundred cubic feet, 2009",859,Numeric,8
859,CUFEETNGWTH,"Natural Gas usage for water heating, in hundred cubic feet, 2009",860,Numeric,8
860,CUFEETNGOTH,"Natural Gas usage for other purposes (all end-uses except SPH and WTH), in hundred cubic feet, 2009",861,Numeric,8
861,BTUNG,"Total Natural Gas usage, in thousand BTU, 2009",862,Numeric,8
862,BTUNGSPH,"Natural Gas usage for space heating, in thousand BTU, 2009",863,Numeric,8
863,BTUNGWTH,"Natural Gas usage for water heating, in thousand BTU, 2009",864,Numeric,8
864,BTUNGOTH,"Natural Gas usage for other purposes (all end-uses except SPH and WTH), in thousand BTU, 2009",865,Numeric,8
865,DOLLARNG,"Total Natural Gas cost, in whole dollars, 2009",866,Numeric,8
866,DOLNGSPH,"Natural Gas cost for space heating, in whole dollars, 2009",867,Numeric,8
867,DOLNGWTH,"Natural Gas cost for water heating, in whole dollars, 2009",868,Numeric,8
868,DOLNGOTH,"Natural Gas cost for other purposes (all end-uses except SPH and WTH), in whole dollars, 2009",869,Numeric,8
869,GALLONLP,"Total LPG/Propane usage, in gallons, 2009",870,Numeric,8
870,GALLONLPSPH,"LPG/Propane usage for space heating, in gallons, 2009",871,Numeric,8
871,GALLONLPWTH,"LPG/Propane usage for water heating, in gallons, 2009",872,Numeric,8
872,GALLONLPOTH,"LPG/Propane usage for other purposes (all end-uses except SPH and WTH), in gallons, 2009",873,Numeric,8
873,BTULP,"Total LPG/LPG/Propane usage, in thousand BTU, 2009",874,Numeric,8
874,BTULPSPH,"LPG/Propane usage for space heating, in thousand BTU, 2009",875,Numeric,8
875,BTULPWTH,"LPG/Propane usage for water heating, in thousand BTU, 2009",876,Numeric,8
876,BTULPOTH,"LPG/Propane usage for other purposes (all end-uses except SPH and WTH), in thousand BTU, 2009",877,Numeric,8
877,DOLLARLP,"Total cost of LPG/Propane, in whole dollars, 2009",878,Numeric,8
878,DOLLPSPH,"Cost of LPG/Propane for space heating, in whole dollars, 2009",879,Numeric,8
879,DOLLPWTH,"Cost of LPG/Propane for water heating, in whole dollars, 2009",880,Numeric,8
880,DOLLPOTH,"Cost of LPG/Propane for other purposes (all end-uses except SPH and WTH), in whole dollars, 2009",881,Numeric,8
881,GALLONFO,"Total Fuel Oil usage, in gallons, 2009",882,Numeric,8
882,GALLONFOSPH,"Fuel Oil usage for space heating, in gallons, 2009",883,Numeric,8
883,GALLONFOWTH,"Fuel Oil usage for water heating, in gallons, 2009",884,Numeric,8
884,GALLONFOOTH,"Fuel Oil usage for other purposes (all end-uses except SPH and WTH), in gallons, 2009",885,Numeric,8
885,BTUFO,"Total Fuel Oil usage, in thousand BTU, 2009",886,Numeric,8
886,BTUFOSPH,"Fuel Oil usage for space heating, in thousand BTU, 2009",887,Numeric,8
887,BTUFOWTH,"Fuel Oil usage for water heating, in thousand BTU, 2009",888,Numeric,8
888,BTUFOOTH,"Fuel Oil usage for other purposes (all end-uses except SPH and WTH), in thousand BTU, 2009",889,Numeric,8
889,DOLLARFO,"Total cost of Fuel Oil, in whole dollars, 2009",890,Numeric,8
890,DOLFOSPH,"Cost of Fuel Oil for space heating, in whole dollars, 2009",891,Numeric,8
891,DOLFOWTH,"Cost of Fuel Oil for water heating, in whole dollars, 2009",892,Numeric,8
892,DOLFOOTH,"Cost of Fuel Oil for other purposes (all end-uses except SPH and WTH), in whole dollars, 2009",893,Numeric,8
893,GALLONKER,"Total Kerosene usage, in gallons, 2009",894,Numeric,8
894,GALLONKERSPH,"Kerosene usage for space heating, in gallons, 2009",895,Numeric,8
895,GALLONKERWTH,"Kerosene usage for water heating, in gallons, 2009",896,Numeric,8
896,GALLONKEROTH,"Kerosene usage for other purposes (all end-uses except SPH and WTH), in gallons, 2009",897,Numeric,8
897,BTUKER,"Total Kerosene usage, in thousand BTU, 2009",898,Numeric,8
898,BTUKERSPH,"Kerosene usage for space heating, in thousand BTU, 2009",899,Numeric,8
899,BTUKERWTH,"Kerosene usage for water heating, in thousand BTU, 2009",900,Numeric,8
900,BTUKEROTH,"Kerosene usage for other purposes (all end-uses except SPH and WTH), in thousand BTU, 2009",901,Numeric,8
901,DOLLARKER,"Total cost of Kerosene, in whole dollars, 2009",902,Numeric,8
902,DOLKERSPH,"Cost of Kerosene for space heating, in whole dollars, 2009",903,Numeric,8
903,DOLKERWTH,"Cost of Kerosene for water heating, in whole dollars, 2009",904,Numeric,8
904,DOLKEROTH,"Cost of Kerosene for other purposes (all end-uses except SPH and WTH), in whole dollars, 2009",905,Numeric,8
905,BTUWOOD,"Total Wood usage, in thousand BTU, 2009 (Wood consumption is not included in TOTALBTU or TOTALDOL)",906,Numeric,8
906,CORDSWD,"Total Wood usage, in cords, 2009 (Wood consumption is not included in TOTALBTU or TOTALDOL)",907,Numeric,8
907,TOTALBTU,"Total usage, in thousand BTU, 2009",908,Numeric,8
908,TOTALBTUSPH,"Total usage for space heating, in thousand BTU, 2009",909,Numeric,8
909,TOTALBTUCOL,"Total usage for air conditioning, in thousand BTU, 2009",910,Numeric,8
910,TOTALBTUWTH,"Total usage for water heating, in thousand BTU, 2009",911,Numeric,8
911,TOTALBTURFG,"Total usage for refrigerators, in thousand BTU, 2009",912,Numeric,8
912,TOTALBTUOTH,"Total usage for appliances, electronics, lighting, and miscellaneous uses, in thousand BTU, 2009",913,Numeric,8
913,TOTALDOL,"Total cost, in whole dollars, 2009",914,Numeric,8
914,TOTALDOLSPH,"Total cost for space heating, in whole dollars, 2009",915,Numeric,8
915,TOTALDOLCOL,"Total cost for air conditioning, in whole dollars, 2009",916,Numeric,8
916,TOTALDOLWTH,"Total cost for water heating, in whole dollars, 2009",917,Numeric,8
917,TOTALDOLRFG,"Total cost for refrigerators, in whole dollars, 2009",918,Numeric,8
918,TOTALDOLOTH,"Total cost for appliances, electronics, lighting, and miscellaneous uses, in whole dollars, 2009",919,Numeric,8
919,KAVALEL,Electricity end uses included in Energy Supplier Survey billing data,920,Numeric,8
920,PERIODEL,Number of days covered by Energy Supplier Survey electricity billing data and used to calculate annual consumption and expenditures,921,Numeric,8
921,SCALEEL,Whether annualized electricity consumption from Energy Supplier Survey billing data was scaled down,922,Numeric,8
922,KAVALNG,Natural gas end uses included in Energy Supplier Survey billing data,923,Numeric,8
923,PERIODNG,Number of days covered by Energy Supplier Survey natural gas billing data and used to calculate annual consumption and expenditures,924,Numeric,8
924,SCALENG,Whether annualized natural gas consumption from Energy Supplier Survey billing data was scaled down,925,Numeric,8
925,PERIODLP,Number of days covered by Energy Supplier Survey LPG/propane billing data and used to calculate annual consumption and expenditures,926,Numeric,8
926,SCALELP,Whether annualized LPG/propane consumption from Energy Supplier Survey billing data was scaled down,927,Numeric,8
927,PERIODFO,Number of days covered by Energy Supplier Survey fuel oil billing data and used to calculate annual consumption and expenditures,928,Numeric,8
928,SCALEFO,Whether annualized fuel oil consumption from Energy Supplier Survey billing data was scaled down,929,Numeric,8
929,PERIODKR,Number of days covered by Energy Supplier Survey kerosene billing data and used to calculate annual consumption and expenditures,930,Numeric,8
930,SCALEKER,Whether annualized kerosene consumption from Energy Supplier Survey billing data was scaled down,931,Numeric,8
931,IECC_Climate_Pub,International Energy Conservation Code (IECC) climate zone (collapsed for public file),932,Character,15
932,HDD50,"Heating degree days in 2009, base temperature 50F",933,Numeric,8
933,CDD80,"Cooling degree days in 2009, base temperature 80F",934,Numeric,8
934,GND_HDD65,"Heating degree days of ground temperature in 2009, base temperature 65F",935,Numeric,8
935,WSF,Weather & shielding factor for the housing unit,936,Numeric,8
936,OA_LAT,Annual value for latent heat infiltration from outside air into the housing unit,937,Numeric,8
937,GWT,Annual average ground water temperature (F) for 2009,938,Numeric,8
938,DesignDBT99,Dry bulb design temperature (F) expected to be exceeded 99% of the time,939,Numeric,8
939,DesignDBT1,Dry bulb design temperature (F) expected to be exceeded 1% of the time,940,Numeric,8
